id_registro,empresa,departamento,produto_original,produto_normalizado,codigo_produto,codigo_valido,quantidade,unidade,quantidade_base,unidade_base,embalagem_original,preco,preco_publico,pagina_catalogo,data_referencia,metodo_extracao,qualidade_extracao,status_validacao,link_produto,fonte
1828,Fortali Distribuidora,Confeitaria,PASTA GUSTOSIA CAFFE 90G,PASTA GUSTOSIA CAFFE 90G,28627,Sim,90.0,G,90.0,G,90G,,Não,24,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/pasta-gustosia-caffe-90g-28627-1,https://www.fortali.com.br/confeitaria?page=24
1829,Fortali Distribuidora,Confeitaria,PASTA GUSTOSIA DAMASCO CLASSIC 90G,PASTA GUSTOSIA DAMASCO CLASSIC 90G,28628,Sim,90.0,G,90.0,G,90G,,Não,86,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/pasta-gustosia-damasco-classic-90g-28628-1,https://www.fortali.com.br/confeitaria?page=86
1830,Fortali Distribuidora,Confeitaria,PASTA GUSTOSIA NOCCIOLISSIMA 90G,PASTA GUSTOSIA NOCCIOLISSIMA 90G,28629,Sim,90.0,G,90.0,G,90G,,Não,86,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/pasta-gustosia-nocciolissima-90g-28629-1,https://www.fortali.com.br/confeitaria?page=86
1831,Fortali Distribuidora,Confeitaria,PASTA GUSTOSIA MENTA 90G,PASTA GUSTOSIA MENTA 90G,28630,Sim,90.0,G,90.0,G,90G,,Não,86,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/pasta-gustosia-menta-90g-28630-1,https://www.fortali.com.br/confeitaria?page=86
1832,Fortali Distribuidora,Confeitaria,PASTA GUSTOSIA WHISKY CREAM 90G,PASTA GUSTOSIA WHISKY CREAM 90G,28631,Sim,90.0,G,90.0,G,90G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/pasta-gustosia-whisky-cream-90g-28631-1,https://www.fortali.com.br/confeitaria?page=87
1833,Fortali Distribuidora,Confeitaria,PASTA GUSTOSIA DOCE DE LEITE 90G,PASTA GUSTOSIA DOCE DE LEITE 90G,28632,Sim,90.0,G,90.0,G,90G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/pasta-gustosia-doce-de-leite-90g-28632-1,https://www.fortali.com.br/confeitaria?page=87
1834,Fortali Distribuidora,Confeitaria,ACUCAR CONFEITEIRO SNOW SUGAR 500G,ACUCAR CONFEITEIRO SNOW SUGAR 500G,28633,Sim,500.0,G,500.0,G,500G,,Não,35,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/acucar-confeiteiro-snow-sugar-500g-28633-1,https://www.fortali.com.br/confeitaria?page=35
1835,Fortali Distribuidora,Confeitaria,CHOCOPOWER MINI CHOCOLATE 300G,CHOCOPOWER MINI CHOCOLATE 300G,28634,Sim,300.0,G,300.0,G,300G,,Não,24,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/chocopower-mini-chocolate-300g-28634-1,https://www.fortali.com.br/confeitaria?page=24
1836,Fortali Distribuidora,Confeitaria,CACAU EM PO BLACK MAVALERIO 180G,CACAU EM PO BLACK MAVALERIO 180G,28636,Sim,180.0,G,180.0,G,180G,,Não,36,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/cacau-em-po-black-mavalerio-180g-28636-1,https://www.fortali.com.br/confeitaria?page=36
1837,Fortali Distribuidora,Confeitaria,SABOR P/CHANTILY MARACUJA MAVALERIO 80G,SABOR P CHANTILY MARACUJA MAVALERIO 80G,28637,Sim,80.0,G,80.0,G,80G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/sabor-pchantily-maracuja-mavalerio-80g-28637-1,https://www.fortali.com.br/confeitaria?page=87
1838,Fortali Distribuidora,Confeitaria,SABOR P/CHANTILY AVELA MAVALERIO 80G,SABOR P CHANTILY AVELA MAVALERIO 80G,28638,Sim,80.0,G,80.0,G,80G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/sabor-pchantily-avela-mavalerio-80g-28638-1,https://www.fortali.com.br/confeitaria?page=87
1839,Fortali Distribuidora,Confeitaria,SABOR P/CHANTILY AVELA MAVALERIO 80G,SABOR P CHANTILY AVELA MAVALERIO 80G,28639,Sim,80.0,G,80.0,G,80G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/sabor-pchantily-avela-mavalerio-80g-28639-1,https://www.fortali.com.br/confeitaria?page=87
