empresa,departamento,produto_original,produto_normalizado,codigo_produto,embalagem_original,quantidade,unidade,quantidade_base,unidade_base,preco,preco_publico,pagina_catalogo,link_produto,data_coleta,fonte,status_validacao
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE PISTACHE 18ML MAGO,EMULSAO SABORIZANTE PISTACHE 18ML MAGO,27703,18ML,18.0,ML,18.0,ML,,Não,83,https://www.fortali.com.br/emulsao-saborizante-pistache-18ml-mago-27703-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE DE AVELA 18ML MAGO,EMULSAO SABORIZANTE DE AVELA 18ML MAGO,27704,18ML,18.0,ML,18.0,ML,,Não,24,https://www.fortali.com.br/emulsao-saborizante-de-avela-18ml-mago-27704-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=24,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE DE ABACAXI 18ML MAGO,EMULSAO SABORIZANTE DE ABACAXI 18ML MAGO,27705,18ML,18.0,ML,18.0,ML,,Não,83,https://www.fortali.com.br/emulsao-saborizante-de-abacaxi-18ml-mago-27705-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE DE AMENDOA 18ML MAGO,EMULSAO SABORIZANTE DE AMENDOA 18ML MAGO,27706,18ML,18.0,ML,18.0,ML,,Não,83,https://www.fortali.com.br/emulsao-saborizante-de-amendoa-18ml-mago-27706-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE MARACUJA 18ML MAGO,EMULSAO SABORIZANTE MARACUJA 18ML MAGO,27707,18ML,18.0,ML,18.0,ML,,Não,83,https://www.fortali.com.br/emulsao-saborizante-maracuja-18ml-mago-27707-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECO FURTACOR REFLEXO ROSA MAGO 5G,PO P DECO FURTACOR REFLEXO ROSA MAGO 5G,27708,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-deco-furtacor-reflexo-rosa-mago-5g-27708-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECO FURTACOR REFLEXO AMAR MAGO 5G,PO P DECO FURTACOR REFLEXO AMAR MAGO 5G,27709,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-deco-furtacor-reflexo-amar-mago-5g-27709-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECO FURTACOR REFLEXO AZUL MAGO 5G,PO P DECO FURTACOR REFLEXO AZUL MAGO 5G,27710,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-deco-furtacor-reflexo-azul-mago-5g-27710-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECOR PEROLA MAGO 5G,PO P DECOR PEROLA MAGO 5G,27711,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decor-perola-mago-5g--27711-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECO FURTACOR REFLEXO VERM MAGO 5G,PO P DECO FURTACOR REFLEXO VERM MAGO 5G,27712,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-deco-furtacor-reflexo-verm-mago-5g-27712-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DEC FURTACOR REFLEXO VERDE MAGO 5G,PO P DEC FURTACOR REFLEXO VERDE MAGO 5G,27713,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-dec-furtacor-reflexo-verde-mago-5g-27713-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO OURO MAGO 5G,PO P DECORACAO OURO MAGO 5G,27714,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-ouro-mago-5g--27714-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO PRATA MAGO 5G,PO P DECORACAO PRATA MAGO 5G,27715,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-prata-mago-5g--27715-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO COBRE MAGO 5G,PO P DECORACAO COBRE MAGO 5G,27716,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-cobre-mago-5g--27716-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO NACAR MAGO 5G,PO P DECORACAO NACAR MAGO 5G,27717,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-nacar-mago-5g--27717-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO AZUL MAGO 5G,PO P DECORACAO AZUL MAGO 5G,27718,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-azul-mago-5g--27718-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO VERMELHO MAGO 5G,PO P DECORACAO VERMELHO MAGO 5G,27719,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-vermelho-mago-5g--27719-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO ROSA MAGO 5G,PO P DECORACAO ROSA MAGO 5G,27720,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-rosa-mago-5g--27720-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO OURO ILUSAO MAGO 5G,PO P DECORACAO OURO ILUSAO MAGO 5G,27721,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-ouro-ilusao-mago-5g--27721-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
Fortali Distribuidora,Confeitaria,PO P/ DECORACAO OURO ROSE MAGO 5G,PO P DECORACAO OURO ROSE MAGO 5G,27722,5G,5.0,G,5.0,G,,Não,83,https://www.fortali.com.br/po-p-decoracao-ouro-rose-mago-5g--27722-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=83,Pronto para comparar
