empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao,codigo_produto_original,motivo_codigo,id_registro,status_validacao
Milk Distribuidora,COCO,46,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COCO,Embalagem não identificada,46,CODIGO_VALIDO,MILK_COD_46,VALIDO
Milk Distribuidora,CREME VANILA,47,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CREME VANILA,Embalagem não identificada,47,CODIGO_VALIDO,MILK_COD_47,VALIDO
Milk Distribuidora,DOCE DE LEITE,48,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,DOCE DE LEITE,Embalagem não identificada,48,CODIGO_VALIDO,MILK_COD_48,VALIDO
Milk Distribuidora,GRAVIOLA,49,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GRAVIOLA,Embalagem não identificada,49,CODIGO_VALIDO,MILK_COD_49,VALIDO
Milk Distribuidora,IOGURTE MORANGO,50,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,IOGURTE MORANGO,Embalagem não identificada,50,CODIGO_VALIDO,MILK_COD_50,VALIDO
Milk Distribuidora,LEITE CONDENSADO,51,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,LEITE CONDENSADO,Embalagem não identificada,51,CODIGO_VALIDO,MILK_COD_51,VALIDO
Milk Distribuidora,MARACUJÁ,52,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MARACUJÁ,Embalagem não identificada,52,CODIGO_VALIDO,MILK_COD_52,VALIDO
Milk Distribuidora,MILHO VERDE,53,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MILHO VERDE,Embalagem não identificada,53,CODIGO_VALIDO,MILK_COD_53,VALIDO
Milk Distribuidora,MORANGO,54,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Embalagem não identificada,54,CODIGO_VALIDO,MILK_COD_54,VALIDO
Milk Distribuidora,MORANGO STAR,55,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO STAR,Embalagem não identificada,55,CODIGO_VALIDO,MILK_COD_55,VALIDO
Milk Distribuidora,NATA,56,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,NATA,Embalagem não identificada,56,CODIGO_VALIDO,MILK_COD_56,VALIDO
