id_milk,produto_milk,codigo_milk,status_milk,id_fortali,produto_fortali,codigo_fortali,status_fortali,quantidade_base,unidade_base,similaridade_percentual,classificacao,equivalencia_confirmada,revisao_humana
92,MINI CEREAL CROCANTE P BRANCO/PRETO 500 G,292,Revisar,3235,CEREAL MICRO CHOCOLATE LEITE/BRANCO VABENE 500G,6999,Pronto para comparar,500.0,G,62.34,Baixa,Não,Sim
83,MINI CEREAL CROCANTE M BRANCO/PRETO 500 G,122,Revisar,3235,CEREAL MICRO CHOCOLATE LEITE/BRANCO VABENE 500G,6999,Pronto para comparar,500.0,G,62.34,Baixa,Não,Sim
90,BIG CEREAL CHOC. BRANCO 500 G,273,Revisar,2016,BIG CEREAL CROCANTE CHOCOLATE DECORA 500G,29052,Pronto para comparar,500.0,G,62.07,Baixa,Não,Sim
93,BIG CEREAL BRANCO/PRETO 500 G,293,Revisar,2017,BIG CEREAL CROCANTE CHOC BCO DECORA 500G,29053,Pronto para comparar,500.0,G,62.07,Baixa,Não,Sim
81,"DISQUETE CHOCOLATE • 1,010 KG",95,Revisar,2011,"CHIPS LEITE CHOCOMAIS 1,01KG",29035,Pronto para comparar,1010.0,G,61.54,Baixa,Não,Sim
90,BIG CEREAL CHOC. BRANCO 500 G,273,Revisar,531,BIG CEREAL CROC MESCLADO DECORA DE 500G,15910,Pronto para comparar,500.0,G,60.71,Baixa,Não,Sim
80,CHOCOCANDY PASTILHA COLORIDA 500 G,94,Revisar,3357,MASSA PASTILHAGEM ARCOLOR 500G,9979,Pronto para comparar,500.0,G,60.38,Baixa,Não,Sim
100,PAÇOQUINHA TUBITOS POTE 750 G,178,Revisar,695,TUBITOS POTE JAZAM 750G,18162,Pronto para comparar,750.0,G,58.54,Baixa,Não,Sim
49,CREME DE AVELÃ • 4 Kg,099,Pronto para comparar,2210,CREME DE AVELA CHOCONUTTE FOODBASE 4KG,30041,Pronto para comparar,4000.0,G,58.33,Baixa,Não,Sim
49,CREME DE AVELÃ • 4 Kg,099,Pronto para comparar,2806,CREME GANACHE CHOC AVELA MELKEN 4KG,34553,Pronto para comparar,4000.0,G,57.78,Baixa,Não,Sim
93,BIG CEREAL BRANCO/PRETO 500 G,293,Revisar,1171,MIÇANGA BRANCO LEKE 500G,23286,Pronto para comparar,500.0,G,57.14,Baixa,Não,Sim
95,FLOCOS CROCANTES OVOMALTINE 750 G,118,Revisar,1633,FLOCOS CEREAIS CROC VABENE 750G,27201,Pronto para comparar,750.0,G,56.6,Baixa,Não,Sim
104,"OVOMALTINE CREME CROCANTE 2,10 KG",XX,Revisar,2569,"CREME CROCANTE OVOMALTINE 2,1KG",32418,Pronto para comparar,2100.0,G,56.0,Baixa,Não,Sim
85,"COB GTS MEIO AMARGO 1,050 KG",161,Revisar,2234,"GANACHE MEIO AMARGO FOODBASE 1,050KG",30087,Pronto para comparar,1050.0,G,55.32,Baixa,Não,Sim
