empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte
Milk Distribuidora,MORANGO,XX,Não,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CAFÉ • 1 Kg,XX,Não,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC. CHOC. MEIO,12,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CROCANTE • 1,050 KG",121,Sim,4,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRANCO • 5 KG AMARGO • 5 KG,13,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MACIO • 1,050 KG",14,Sim,4,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"GRANULADO CHOCOLATE DORI • 1,010 KG",173,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COLORETI MINI SORTIDO • 500G,175,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC. CHOC. MEIO,271,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRANCO • 5 KG AMARGO • 5 KG,272,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOCANDY PASTILHA COLORIDA 500 G,94,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DISQUETE CHOCOLATE • 1,010 KG",95,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRANULADO TRDICIONAL KERRY • 1 KG,98,Sim,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MINI CEREAL CROCANTE M BRANCO/PRETO 500 G,122,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BIG CEREAL CROCANTE CHOCOLATE 500 G,123,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COB GTS MEIO AMARGO 1,050 KG",161,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COB. CHIPSHOW AVELÃ TOP 1,050 KG",168,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COB. CHIPSHOW BRANCO TOP 1,050 KG",169,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COLORETI MINI BALL MISTO 500 G,177,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COLORETI BALL 500 G,179,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BIG CEREAL CHOC. BRANCO 500 G,273,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRANULADO MACIO COLORIDO,291,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MINI CEREAL CROCANTE P BRANCO/PRETO 500 G,292,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BIG CEREAL BRANCO/PRETO 500 G,293,Sim,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FLOCOS DE ARROZ A GRANEL,110,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FLOCOS CROCANTES OVOMALTINE 750 G,118,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE EM PÓ SOLÚVEL 50% CACAU,124,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,UVA PASSA CAIXA 10 KG,163,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NUTELLA COM AVELÃ 650 G,172,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PAÇOQUINHA TUBITOS CAIXA,176,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PAÇOQUINHA TUBITOS POTE 750 G,178,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FLOCOS DE ARROZ 400 G,37,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GOMETS GOMA SINO 1 KG,93,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"PAÇOQUINHA ROLHA POTE 1,25 KG",96,Sim,6,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
